x	y	group	clickSelects
48099.25	2.75	9	406
48096.25	-0.25	9	406
48091.75	-0.25	9	406
48091.75	0.25	9	406
48093.25	1.75	9	406
48093.75	1.75	9	406
48094.25	1.25	9	406
48094.75	1.25	9	406
48095.25	1.75	9	406
48096.25	1.75	9	406
48097.75	3.25	9	406
48099.25	3.25	9	406
48099.75	3.25	28	814
48097.75	3.25	28	814
48096.25	1.75	28	814
48095.25	1.75	28	814
48094.75	1.25	28	814
48094.25	1.25	28	814
48093.75	1.75	28	814
48093.75	2.25	28	814
48095.25	3.75	28	814
48097.25	3.75	28	814
48098.75	5.25	28	814
48099.75	5.25	28	814
48099.75	6.25	28	814
48100.25	6.75	28	814
48101.25	6.75	28	814
48101.75	7.25	28	814
48102.75	7.25	28	814
48103.25	7.75	28	814
48103.25	8.75	28	814
48103.75	8.75	28	814
48104.25	8.25	28	814
48104.25	7.75	28	814
48130.75	34.25	23	668
48122.25	25.75	23	668
48121.25	25.75	23	668
48121.25	24.75	23	668
48117.25	20.75	23	668
48116.75	20.75	23	668
48115.75	21.75	23	668
48115.25	21.75	23	668
48115.25	20.75	23	668
48114.25	20.75	23	668
48113.75	20.25	23	668
48113.75	19.25	23	668
48112.75	18.25	23	668
48112.75	17.25	23	668
48111.75	17.25	23	668
48111.25	16.75	23	668
48110.25	16.75	23	668
48109.25	15.75	23	668
48109.25	14.75	23	668
48106.25	11.75	23	668
48105.25	11.75	23	668
48105.25	10.75	23	668
48104.25	10.75	23	668
48104.25	9.75	23	668
48103.25	8.75	23	668
48103.25	7.75	23	668
48102.75	7.25	23	668
48101.75	7.25	23	668
48101.25	6.75	23	668
48100.25	6.75	23	668
48099.75	6.25	23	668
48099.75	5.25	23	668
48098.75	5.25	23	668
48097.25	3.75	23	668
48095.75	3.75	23	668
48095.75	4.25	23	668
48107.75	16.25	23	668
48108.75	16.25	23	668
48108.75	17.25	23	668
48118.25	26.75	23	668
48119.25	26.75	23	668
48119.75	27.25	23	668
48119.75	28.25	23	668
48120.75	28.25	23	668
48120.75	29.25	23	668
48121.75	29.25	23	668
48121.75	30.25	23	668
48122.75	30.25	23	668
48122.75	31.25	23	668
48126.75	35.25	23	668
48127.75	35.25	23	668
48128.25	35.75	23	668
48128.25	36.75	23	668
48129.25	36.75	23	668
48129.25	37.75	23	668
48130.75	39.25	23	668
48131.75	39.25	23	668
48131.75	40.25	23	668
48132.75	40.25	23	668
48134.75	42.25	23	668
48134.75	43.25	23	668
48136.75	45.25	23	668
48137.25	45.25	23	668
48137.25	44.75	23	668
48135.75	43.25	23	668
48135.75	42.75	23	668
48137.25	41.25	23	668
48137.25	40.75	23	668
48131.25	34.75	23	668
48105.75	12.75	35	668
48105.25	12.75	35	668
48105.25	12.25	35	668
48105.75	12.25	35	668
48116.75	20.25	31	905
48104.75	8.25	31	905
48104.25	8.25	31	905
48103.75	8.75	31	905
48103.75	9.25	31	905
48104.25	9.75	31	905
48104.25	10.75	31	905
48105.25	10.75	31	905
48105.25	11.75	31	905
48106.25	11.75	31	905
48109.25	14.75	31	905
48109.25	15.75	31	905
48110.25	16.75	31	905
48111.25	16.75	31	905
48111.75	17.25	31	905
48112.75	17.25	31	905
48112.75	18.25	31	905
48113.75	19.25	31	905
48113.75	20.25	31	905
48114.25	20.75	31	905
48115.25	20.75	31	905
48115.25	21.75	31	905
48115.75	21.75	31	905
48116.75	20.75	31	905
48152.25	-0.25	18	608
48096.75	-0.25	18	608
48096.75	0.25	18	608
48097.25	0.75	18	608
48124.25	0.75	18	608
48124.75	1.25	18	608
