fill	x	y	group
#FFFEFF	48100.5	8	17
#FFFEFF	48100	7.5	17
#FFFFFF	48100	8.5	18
#FFFFFF	48100.5	9	18
#FFFFFF	48101	8.5	18
#FFFFFF	48100.5	8	18
#FEFCFC	48100.5	9	19
#FEFCFC	48101	9.5	19
#FEFCFC	48101.5	9	19
#FEFCFC	48101	8.5	19
#FDFBFA	48101	9.5	20
#FDFBFA	48101.5	10	20
#FDFBFA	48102	9.5	20
#FDFBFA	48101.5	9	20
#FCFCFE	48101.5	10	21
#FCFCFE	48102	10.5	21
#FCFCFE	48102.5	10	21
#FCFCFE	48102	9.5	21
#FAF3F2	48102	10.5	22
#FAF3F2	48102.5	11	22
#FAF3F2	48103	10.5	22
#FAF3F2	48102.5	10	22
#FEFCFC	48102.5	11	23
#FEFCFC	48103	11.5	23
#FEFCFC	48103.5	11	23
#FEFCFC	48103	10.5	23
#FCF7F7	48103	11.5	24
#FCF7F7	48103.5	12	24
#FCF7F7	48104	11.5	24
#FCF7F7	48103.5	11	24
#FEFCFC	48103.5	12	25
#FEFCFC	48104	12.5	25
#FEFCFC	48104.5	12	25
#FEFCFC	48104	11.5	25
#FFFFFF	48104	12.5	26
#FFFFFF	48104.5	13	26
#FFFFFF	48105	12.5	26
#FFFFFF	48104.5	12	26
#FEFCFC	48104.5	13	27
#FEFCFC	48105	13.5	27
#FEFCFC	48105.5	13	27
#FEFCFC	48105	12.5	27
#FEFCFC	48105	13.5	28
#FEFCFC	48105.5	14	28
#FEFCFC	48106	13.5	28
#FEFCFC	48105.5	13	28
#FCF7F7	48105.5	14	29
#FCF7F7	48106	14.5	29
#FCF7F7	48106.5	14	29
#FCF7F7	48106	13.5	29
#FCF8F8	48106	14.5	30
#FCF8F8	48106.5	15	30
#FCF8F8	48107	14.5	30
#FCF8F8	48106.5	14	30
#FEFDFD	48106.5	15	31
#FEFDFD	48107	15.5	31
#FEFDFD	48107.5	15	31
#FEFDFD	48107	14.5	31
#FDFAF9	48107	15.5	32
#FDFAF9	48107.5	16	32
#FDFAF9	48108	15.5	32
#FDFAF9	48107.5	15	32
#FBFAFD	48107.5	16	33
#FBFAFD	48108	16.5	33
#FBFAFD	48108.5	16	33
#FBFAFD	48108	15.5	33
#FDFAF9	48108.5	17	34
#FDFAF9	48109	17.5	34
#FDFAF9	48109.5	17	34
#FDFAF9	48109	16.5	34
#FDFAF9	48109	17.5	35
#FDFAF9	48109.5	18	35
#FDFAF9	48110	17.5	35
#FDFAF9	48109.5	17	35
#FDFDFE	48109.5	18	36
#FDFDFE	48110	18.5	36
#FDFDFE	48110.5	18	36
#FDFDFE	48110	17.5	36
#FCF7F7	48110	18.5	37
#FCF7F7	48110.5	19	37
#FCF7F7	48111	18.5	37
#FCF7F7	48110.5	18	37
#FFFFFF	48110.5	19	38
#FFFFFF	48111	19.5	38
#FFFFFF	48111.5	19	38
#FFFFFF	48111	18.5	38
#FEFCFC	48111	19.5	39
#FEFCFC	48111.5	20	39
#FEFCFC	48112	19.5	39
#FEFCFC	48111.5	19	39
#FDFBFA	48111.5	20	40
#FDFBFA	48112	20.5	40
#FDFBFA	48112.5	20	40
#FDFBFA	48112	19.5	40
#FEFCFC	48112	20.5	41
#FEFCFC	48112.5	21	41
#FEFCFC	48113	20.5	41
#FEFCFC	48112.5	20	41
#FEFCFC	48112.5	21	42
#FEFCFC	48113	21.5	42
#FEFCFC	48113.5	21	42
#FEFCFC	48113	20.5	42
#FCF7F7	48113	21.5	43
#FCF7F7	48113.5	22	43
#FCF7F7	48114	21.5	43
#FCF7F7	48113.5	21	43
#FDFBFB	48113.5	22	44
#FDFBFB	48114	22.5	44
#FDFBFB	48114.5	22	44
#FDFBFB	48114	21.5	44
#FDFBFB	48114	22.5	45
#FDFBFB	48114.5	23	45
#FDFBFB	48115	22.5	45
#FDFBFB	48114.5	22	45
#FDFAF9	48114.5	23	46
#FDFAF9	48115	23.5	46
#FDFAF9	48115.5	23	46
#FDFAF9	48115	22.5	46
#FDFBFA	48115	23.5	47
#FDFBFA	48115.5	24	47
#FDFBFA	48116	23.5	47
#FDFBFA	48115.5	23	47
#FDFAF9	48115.5	24	48
#FDFAF9	48116	24.5	48
#FDFAF9	48116.5	24	48
#FDFAF9	48116	23.5	48
#FEFDFD	48116	24.5	49
#FEFDFD	48116.5	25	49
#FEFDFD	48117	24.5	49
#FEFDFD	48116.5	24	49
#AF6760	48092.5	0	50
#AF6760	48093	0.5	50
#AF6760	48093.5	0	50
#AF6760	48093	-0.5	50
#B8756E	48093	0.5	51
#B8756E	48093.5	1	51
#B8756E	48094	0.5	51
#B8756E	48093.5	0	51
#BB7B74	48093.5	1	52
#BB7B74	48094	1.5	52
#BB7B74	48094.5	1	52
#BB7B74	48094	0.5	52
#E6C8C5	48094	1.5	53
#E6C8C5	48094.5	2	53
#E6C8C5	48095	1.5	53
#E6C8C5	48094.5	1	53
#DEBAB5	48094.5	2	54
#DEBAB5	48095	2.5	54
#DEBAB5	48095.5	2	54
#DEBAB5	48095	1.5	54
#F9F0EF	48095	2.5	55
#F9F0EF	48095.5	3	55
#F9F0EF	48096	2.5	55
#F9F0EF	48095.5	2	55
#F8EFED	48095.5	3	56
#F8EFED	48096	3.5	56
#F8EFED	48096.5	3	56
#F8EFED	48096	2.5	56
#FDFCFE	48096	3.5	57
#FDFCFE	48096.5	4	57
#FDFCFE	48097	3.5	57
#FDFCFE	48096.5	3	57
#FEFEFF	48096.5	4	58
#FEFEFF	48097	4.5	58
#FEFEFF	48097.5	4	58
#FEFEFF	48097	3.5	58
#FEFEFE	48097	4.5	59
#FEFEFE	48097.5	5	59
#FEFEFE	48098	4.5	59
#FEFEFE	48097.5	4	59
#FDFAF9	48097.5	5	60
#FDFAF9	48098	5.5	60
#FDFAF9	48098.5	5	60
#FDFAF9	48098	4.5	60
#FEFCFC	48098	5.5	61
#FEFCFC	48098.5	6	61
#FEFCFC	48099	5.5	61
#FEFCFC	48098.5	5	61
#FDFCFE	48098.5	6	62
#FDFCFE	48099	6.5	62
#FDFCFE	48099.5	6	62
#FDFCFE	48099	5.5	62
#FEFCFB	48099	6.5	63
#FEFCFB	48099.5	7	63
#FEFCFB	48100	6.5	63
#FEFCFB	48099.5	6	63
#FFFEFE	48099.5	7	64
#FFFEFE	48100	7.5	64
#FFFEFE	48100.5	7	64
#FFFEFE	48100	6.5	64
#FEFEFE	48100	7.5	65
#FEFEFE	48100.5	8	65
#FEFEFE	48101	7.5	65
#FEFEFE	48100.5	7	65
#FEFEFE	48100.5	8	66
#FEFEFE	48101	8.5	66
#FEFEFE	48101.5	8	66
#FEFEFE	48101	7.5	66
#FBF7F6	48101	8.5	67
#FBF7F6	48101.5	9	67
#FBF7F6	48102	8.5	67
#FBF7F6	48101.5	8	67
#FDFBFB	48101.5	9	68
#FDFBFB	48102	9.5	68
#FDFBFB	48102.5	9	68
#FDFBFB	48102	8.5	68
#FDF9F9	48102	9.5	69
#FDF9F9	48102.5	10	69
#FDF9F9	48103	9.5	69
#FDF9F9	48102.5	9	69
#FDFBFA	48102.5	10	70
#FDFBFA	48103	10.5	70
#FDFBFA	48103.5	10	70
#FDFBFA	48103	9.5	70
#FAF3F3	48103	10.5	71
#FAF3F3	48103.5	11	71
#FAF3F3	48104	10.5	71
#FAF3F3	48103.5	10	71
#FCF7F7	48103.5	11	72
#FCF7F7	48104	11.5	72
#FCF7F7	48104.5	11	72
#FCF7F7	48104	10.5	72
#FFFEFE	48104	11.5	73
#FFFEFE	48104.5	12	73
#FFFEFE	48105	11.5	73
#FFFEFE	48104.5	11	73
#FCF7F7	48104.5	12	74
#FCF7F7	48105	12.5	74
#FCF7F7	48105.5	12	74
#FCF7F7	48105	11.5	74
#F9F2F1	48105.5	13	75
#F9F2F1	48106	13.5	75
#F9F2F1	48106.5	13	75
#F9F2F1	48106	12.5	75
#FFFFFF	48106	13.5	76
#FFFFFF	48106.5	14	76
#FFFFFF	48107	13.5	76
#FFFFFF	48106.5	13	76
#FEFCFB	48106.5	14	77
#FEFCFB	48107	14.5	77
#FEFCFB	48107.5	14	77
#FEFCFB	48107	13.5	77
#FFFFFF	48107	14.5	78
#FFFFFF	48107.5	15	78
#FFFFFF	48108	14.5	78
#FFFFFF	48107.5	14	78
#FBF7F6	48107.5	15	79
#FBF7F6	48108	15.5	79
#FBF7F6	48108.5	15	79
#FBF7F6	48108	14.5	79
#FDFDFE	48108	15.5	80
#FDFDFE	48108.5	16	80
#FDFDFE	48109	15.5	80
#FDFDFE	48108.5	15	80
#FFFFFF	48108.5	16	81
#FFFFFF	48109	16.5	81
#FFFFFF	48109.5	16	81
#FFFFFF	48109	15.5	81
#FAF9FC	48109	16.5	82
#FAF9FC	48109.5	17	82
#FAF9FC	48110	16.5	82
#FAF9FC	48109.5	16	82
#FFFFFF	48109.5	17	83
#FFFFFF	48110	17.5	83
#FFFFFF	48110.5	17	83
#FFFFFF	48110	16.5	83
#FDFBFB	48110	17.5	84
#FDFBFB	48110.5	18	84
#FDFBFB	48111	17.5	84
#FDFBFB	48110.5	17	84
#FEFDFD	48110.5	18	85
#FEFDFD	48111	18.5	85
#FEFDFD	48111.5	18	85
#FEFDFD	48111	17.5	85
#FDFAF9	48111	18.5	86
#FDFAF9	48111.5	19	86
#FDFAF9	48112	18.5	86
#FDFAF9	48111.5	18	86
#FBF6F6	48111.5	19	87
#FBF6F6	48112	19.5	87
#FBF6F6	48112.5	19	87
#FBF6F6	48112	18.5	87
#FBF5F5	48112	19.5	88
#FBF5F5	48112.5	20	88
#FBF5F5	48113	19.5	88
#FBF5F5	48112.5	19	88
#FFFFFF	48112.5	20	89
#FFFFFF	48113	20.5	89
#FFFFFF	48113.5	20	89
#FFFFFF	48113	19.5	89
#FCF7F7	48113	20.5	90
#FCF7F7	48113.5	21	90
#FCF7F7	48114	20.5	90
#FCF7F7	48113.5	20	90
#FEFCFC	48113.5	21	91
#FEFCFC	48114	21.5	91
#FEFCFC	48114.5	21	91
#FEFCFC	48114	20.5	91
#FAF4F3	48114	21.5	92
#FAF4F3	48114.5	22	92
#FAF4F3	48115	21.5	92
#FAF4F3	48114.5	21	92
#FCF8F8	48114.5	22	93
#FCF8F8	48115	22.5	93
#FCF8F8	48115.5	22	93
#FCF8F8	48115	21.5	93
#FCFCFE	48115	22.5	94
#FCFCFE	48115.5	23	94
#FCFCFE	48116	22.5	94
#FCFCFE	48115.5	22	94
#FDFAF9	48115.5	23	95
#FDFAF9	48116	23.5	95
#FDFAF9	48116.5	23	95
#FDFAF9	48116	22.5	95
#FFFEFF	48116	23.5	96
#FFFEFF	48116.5	24	96
#FFFEFF	48117	23.5	96
#FFFEFF	48116.5	23	96
#FDFBFB	48116.5	24	97
#FDFBFB	48117	24.5	97
#FDFBFB	48117.5	24	97
#FDFBFB	48117	23.5	97
#FDFBFA	48117	24.5	98
#FDFBFA	48117.5	25	98
#FDFBFA	48118	24.5	98
#FDFBFA	48117.5	24	98
#A0504A	48093.5	0	99
#A0504A	48094	0.5	99
#A0504A	48094.5	0	99
#A0504A	48094	-0.5	99
#C0837C	48094	0.5	100
#C0837C	48094.5	1	100
#C0837C	48095	0.5	100
#C0837C	48094.5	0	100
#D2A29C	48094.5	1	101
#D2A29C	48095	1.5	101
#D2A29C	48095.5	1	101
#D2A29C	48095	0.5	101
#C48982	48095	1.5	102
#C48982	48095.5	2	102
#C48982	48096	1.5	102
#C48982	48095.5	1	102
#DEB9B4	48095.5	2	103
#DEB9B4	48096	2.5	103
#DEB9B4	48096.5	2	103
#DEB9B4	48096	1.5	103
#FCF8F7	48096	2.5	104
#FCF8F7	48096.5	3	104
#FCF8F7	48097	2.5	104
#FCF8F7	48096.5	2	104
#F3E5E3	48096.5	3	105
#F3E5E3	48097	3.5	105
#F3E5E3	48097.5	3	105
#F3E5E3	48097	2.5	105
#FEFCFB	48097	3.5	106
#FEFCFB	48097.5	4	106
#FEFCFB	48098	3.5	106
#FEFCFB	48097.5	3	106
#FAF9FC	48097.5	4	107
#FAF9FC	48098	4.5	107
#FAF9FC	48098.5	4	107
#FAF9FC	48098	3.5	107
#FDFBFB	48098	4.5	108
#FDFBFB	48098.5	5	108
#FDFBFB	48099	4.5	108
#FDFBFB	48098.5	4	108
#F7EDEC	48098.5	5	109
#F7EDEC	48099	5.5	109
#F7EDEC	48099.5	5	109
#F7EDEC	48099	4.5	109
#FDFAFA	48099	5.5	110
#FDFAFA	48099.5	6	110
#FDFAFA	48100	5.5	110
#FDFAFA	48099.5	5	110
#FBF6F6	48099.5	6	111
#FBF6F6	48100	6.5	111
#FBF6F6	48100.5	6	111
#FBF6F6	48100	5.5	111
#FAF3F2	48100	6.5	112
#FAF3F2	48100.5	7	112
#FAF3F2	48101	6.5	112
#FAF3F2	48100.5	6	112
#F9F1F0	48100.5	7	113
#F9F1F0	48101	7.5	113
#F9F1F0	48101.5	7	113
#F9F1F0	48101	6.5	113
#FBF5F4	48101	7.5	114
#FBF5F4	48101.5	8	114
#FBF5F4	48102	7.5	114
#FBF5F4	48101.5	7	114
#FFFFFF	48101.5	8	115
#FFFFFF	48102	8.5	115
