fill	y	x	group	xmin	xmax	ymin	ymax
#0D0D0D	1	-0.25	-1	-0.375	-0.125	0.5	1.5
#535353	3	-1	-1	-1.125	-0.875	2.5	3.5
#686868	1	0.5	-1	0.375	0.625	0.5	1.5
#717171	2	-1.25	-1	-1.375	-1.125	1.5	2.5
#8A8A8A	2	-2	-1	-2.125	-1.875	1.5	2.5
#666666	1	-1.75	-1	-1.875	-1.625	0.5	1.5
#7F7F7F	2	-4.25	-1	-4.375	-4.125	1.5	2.5
#ACACAC	21	-1	-1	-1.125	-0.875	20.5	21.5
#CCCCCC	17	-1	-1	-1.125	-0.875	16.5	17.5
#CCCCCC	20	-1.5	-1	-1.625	-1.375	19.5	20.5
#ACACAC	13	-1.25	-1	-1.375	-1.125	12.5	13.5
#666666	6	-0.75	-1	-0.875	-0.625	5.5	6.5
#414141	3	-0.5	-1	-0.625	-0.375	2.5	3.5
#2A2A2A	2	-0.5	-1	-0.625	-0.375	1.5	2.5
#363636	1	-0.5	-1	-0.625	-0.375	0.5	1.5
#767676	5	-1.5	-1	-1.625	-1.375	4.5	5.5
#7F7F7F	2	-1.75	-1	-1.875	-1.625	1.5	2.5
#FFFFFF	4	-3.5	-1	-3.625	-3.375	3.5	4.5
#B4B4B4	4	-2.25	-1	-2.375	-2.125	3.5	4.5
#FFFFFF	6	-4.25	-1	-4.375	-4.125	5.5	6.5
#DEDEDE	4	-3	-1	-3.125	-2.875	3.5	4.5
#DEDEDE	3	-2.75	-1	-2.875	-2.625	2.5	3.5
#BEBEBE	3	-3.25	-1	-3.375	-3.125	2.5	3.5
#CCCCCC	3	-4.75	-1	-4.875	-4.625	2.5	3.5
#A0A0A0	2	-2.25	-1	-2.375	-2.125	1.5	2.5
#ACACAC	2	-3	-1	-3.125	-2.875	1.5	2.5
#DEDEDE	24	-1.25	-1	-1.375	-1.125	23.5	24.5
#BEBEBE	18	-1	-1	-1.125	-0.875	17.5	18.5
#878787	11	-1	-1	-1.125	-0.875	10.5	11.5
#616161	6	-0.5	-1	-0.625	-0.375	5.5	6.5
#454545	2	-0.75	-1	-0.875	-0.625	1.5	2.5
#373737	3	-0.75	-1	-0.875	-0.625	2.5	3.5
#6F6F6F	3	-1.25	-1	-1.375	-1.125	2.5	3.5
#747474	2	-1.5	-1	-1.625	-1.375	1.5	2.5
#BEBEBE	3	-5	-1	-5.125	-4.875	2.5	3.5
#686868	8	-0.5	-1	-0.625	-0.375	7.5	8.5
#3B3B3B	2	-0.25	-1	-0.375	-0.125	1.5	2.5
#5F5F5F	1	0	-1	-0.125	0.125	0.5	1.5
#BEBEBE	6	0.5	-1	0.375	0.625	5.5	6.5
#FFFFFF	13	0.75	-1	0.625	0.875	12.5	13.5
#292929	1	0.25	-1	0.125	0.375	0.5	1.5
#6C6C6C	5	-1.25	-1	-1.375	-1.125	4.5	5.5
#CCCCCC	8	-1.75	-1	-1.875	-1.625	7.5	8.5
#BEBEBE	6	-1.75	-1	-1.875	-1.625	5.5	6.5
#FFFFFF	9	-2	-1	-2.125	-1.875	8.5	9.5
#828282	4	-1.5	-1	-1.625	-1.375	3.5	4.5
#A5A5A5	5	-2	-1	-2.125	-1.875	4.5	5.5
#B4B4B4	4	-2	-1	-2.125	-1.875	3.5	4.5
#ACACAC	5	-1.75	-1	-1.875	-1.625	4.5	5.5
#9A9A9A	3	-1.75	-1	-1.875	-1.625	2.5	3.5
#9A9A9A	3	-2	-1	-2.125	-1.875	2.5	3.5
#494949	4	-0.5	-1	-0.625	-0.375	3.5	4.5
#505050	4	-1	-1	-1.125	-0.875	3.5	4.5
#6C6C6C	6	-1.25	-1	-1.375	-1.125	5.5	6.5
#646464	4	-1.25	-1	-1.375	-1.125	3.5	4.5
#969696	3	-1.5	-1	-1.625	-1.375	2.5	3.5
#787878	10	-0.5	-1	-0.625	-0.375	9.5	10.5
#8E8E8E	5	-0.25	-1	-0.375	-0.125	4.5	5.5
#7D7D7D	11	-0.5	-1	-0.625	-0.375	10.5	11.5
#929292	11	-0.75	-1	-0.875	-0.625	10.5	11.5
#585858	5	-0.5	-1	-0.625	-0.375	4.5	5.5
#747474	9	-0.75	-1	-0.875	-0.625	8.5	9.5
